Cell_type_in_merged_data,reclustered.fine,reclustered.broad,nCount_RNA,percent.mito,Cell_type_in_each_tissue
Monocyte,Classical_Mon_S100A12,Myeloid,2682,0.074571216,Monocyte Liver
T Cell GZMK,TEM_INFG,CD8,1474,0.042740841,CD8 T Cell GZMK_high Liver
T Cell XCL1,NA,NA,1073,0.087604846,T GD Cell Liver
B Cell CD79A,Memory_B_AC079767.4,B_and_plasma,1997,0.08012018,B Cell Liver
Monocyte,Classical_Mon_AQP9,Myeloid,2700,0.065185185,Macrophage LST1_high Liver
T Cell GZMK,TEM_GIMAP4,CD8,1810,0.048618785,CD8 T Cell GZMK_high Liver
Monocyte,Non_Classicial_Mon_FCGR3A,Myeloid,3450,0.071304348,Macrophage LST1_high Liver
NK/T Cell GNLY,TEFF_MT1E,CD8,1299,0.055427252,NK/T Cell Liver
NK/T Cell GNLY,NA,NA,1682,0.051129608,NK/T Cell Liver
Macrophage C1QB,Mac_SDC3,Myeloid,7592,0.058350896,Macrophage C1QB_high Liver
T Cell GZMK,TEM_GZMK,CD8,2443,0.034793287,CD8 T Cell GZMK_high Liver
T Cell GZMK,TRM_HSPA1A,CD8,2030,0.061083744,CD8 T Cell GZMK_high Liver
Macrophage FCN3,LEC_FCN3,Endothelial_cell,1447,0.046302695,Lymphatic Endothelial Cell Liver
Macrophage C1QB,Mac_SDC3,Myeloid,5729,0.06877291,Macrophage C1QB_high Liver
Monocyte,Classical_Mon_AQP9,Myeloid,2498,0.072457966,Monocyte Liver
Macrophage C1QB,Mac_SDC3,Myeloid,4021,0.0616762,Macrophage C1QB_high Liver
Monocyte,Classical_Mon_AQP9,Myeloid,2858,0.067179846,Monocyte Liver
Macrophage C1QB,Mac_SDC3,Myeloid,1521,0.071663379,Macrophage C1QB_high Liver
NK/T Cell GNLY,NA,NA,1339,0.073935773,NK/T Cell Liver
T Cell GZMK,MAIT_SLC4A10,CD8,2033,0.046237088,CD8 T Cell GZMK_high Liver
Macrophage C1QB,Mac_SDC3,Myeloid,2834,0.094565984,Macrophage C1QB_high Liver
Cholangiocyte,Cholangiocyte FXYD2_high,Epithelial_cells,4957,0.160782731,Hepatic Oval Cell Liver
B Cell CD79A,Plasma_IGKV3-20,B_and_plasma,1455,0.082474227,B Cell Liver
Monocyte,Non_Classicial_Mon_FCGR3A,Myeloid,2468,0.07171799,Macrophage LST1_high Liver
Monocyte,Non_Classicial_Mon_FCGR3A,Myeloid,6088,0.051248357,Macrophage LST1_high Liver
T Cell GZMK,NA,NA,1539,0.050682261,T GD Cell Liver
T Cell IL7R,TEM_GZMK,CD4,2263,0.031816173,T Cell LTB_high Liver
Macrophage C1QB,Mac_SDC3,Myeloid,3631,0.062241807,Macrophage C1QB_high Liver
T Cell GZMK,TEM_GZMK,CD8,1532,0.048955614,CD8 T Cell GZMK_high Liver
Macrophage C1QB,Mac_SDC3,Myeloid,2409,0.137816521,Macrophage LST1_high Liver
T Cell IL7R,TRM_TNF,CD4,2957,0.045654379,T Cell LTB_high Liver
T Cell IL7R,TRM_TNF,CD4,3029,0.036315616,T Cell LTB_high Liver
T Cell GZMK,TRM_TYMS,CD8,5155,0.044034918,High Proliferation CD8 T Cell Liver
Smooth Muscle Cell,Smo_CREM_high,FibSmo,3278,0.065893838,Smooth Muscle Cell Liver
Monocyte,Classical_Mon_AQP9,Myeloid,3311,0.056780429,Monocyte Liver
Macrophage FCN3,LEC_FCN3,Endothelial_cell,3430,0.083673469,Lymphatic Endothelial Cell Liver
T Cell XCL1,TEM_INFG,CD8,2083,0.083053289,T GD Cell Liver
Monocyte,Non_Classicial_Mon_FCGR3A,Myeloid,4498,0.068697199,Macrophage LST1_high Liver
Monocyte,Non_Classicial_Mon_FCGR3A,Myeloid,3654,0.095511768,Macrophage LST1_high Liver
T Cell XCL1,TEM_INFG,CD8,1555,0.036012862,CD8 T Cell GZMK_high Liver
Monocyte,Classical_Mon_S100A8,Myeloid,1732,0.094688222,Monocyte Liver
T Cell GZMK,NA,NA,1954,0.054247697,T GD Cell Liver
T Cell GZMK,TEFF_GNLY,CD8,1534,0.079530639,T GD Cell Liver
T Cell IL7R,TRM_TNF,CD4,1585,0.07444795,T Cell LTB_high Liver
NK/T Cell GNLY,NA,NA,1705,0.026392962,NK/T Cell Liver
Macrophage C1QB,Mac_SDC3,Myeloid,1434,0.126220363,Macrophage C1QB_high Liver
T Cell IL7R,TRM_TNF,CD4,1914,0.059561129,T Cell LTB_high Liver
T Cell GZMK,TEM_INFG,CD8,1226,0.039151713,CD8 T Cell GZMK_high Liver
T Cell GZMK,TEM_INFG,CD8,1839,0.063621533,CD8 T Cell TRBV4-2_high Liver
T Cell IL7R,TN/CM_LEF1,CD8,1798,0.037263626,T Cell LTB_high Liver
Macrophage C1QB,Mac_SDC3,Myeloid,5067,0.053483323,Macrophage C1QB_high Liver
T Cell GZMK,TEM_GIMAP4,CD8,1485,0.059259259,CD8 T Cell GZMK_high Liver
NK/T Cell GNLY,NA,NA,1589,0.037130271,NK/T Cell Liver
T Cell IL7R,TRM_TNF,CD4,2574,0.034965035,T Cell LTB_high Liver
T Cell GZMK,TEM_GZMK,CD8,1893,0.044902272,CD8 T Cell GZMK_high Liver
Cholangiocyte,Hepatic Oval Cell ,Epithelial_cells,4582,0.054343082,Hepatic Oval Cell Liver
Monocyte,Classical_Mon_AQP9,Myeloid,2000,0.082,Monocyte Liver
T Cell GZMK,TEM_INFG,CD8,2387,0.056975283,CD8 T Cell GZMK_high Liver
T Cell GZMK,TEM_INFG,CD8,1874,0.074172892,CD8 T Cell GZMK_high Liver
T Cell GZMK,NA,NA,2764,0.067293777,T GD Cell Liver
Monocyte,Classical_Mon_AQP9,Myeloid,2482,0.080983078,Monocyte Liver
Monocyte,Classical_Mon_AQP9,Myeloid,5371,0.050083783,Monocyte Liver
T Cell GZMK,TEM_INFG,CD8,1829,0.043193002,CD8 T Cell TRBV4-2_high Liver
NK/T Cell GNLY,NA,NA,2141,0.029425502,NK/T Cell Liver
T Cell GZMK,NA,NA,1757,0.077973819,T GD Cell Liver
T Cell XCL1,TEM_GZMK,CD8,1033,0.063891578,CD8 T Cell GZMK_high Liver
Macrophage C1QB,Mac_SDC3,Myeloid,3669,0.04769692,Macrophage C1QB_high Liver
T Cell GZMK,TEM_GIMAP4,CD8,1082,0.072088725,CD8 T Cell GZMK_high Liver
T Cell IL7R,TCM_STMN1,CD4,2455,0.052953157,T Cell LTB_high Liver
Monocyte,Classical_Mon_S100A8,Myeloid,1720,0.131976744,Monocyte Liver
NK/T Cell GNLY,NA,NA,1639,0.048200122,NK/T Cell Liver
T Cell GZMK,NA,NA,3552,0.034065315,T GD Cell Liver
Macrophage C1QB,Mac_SDC3,Myeloid,7144,0.044652856,Macrophage C1QB_high Liver
Monocyte,Non_Classicial_Mon_FCGR3A,Myeloid,3867,0.084303077,Macrophage LST1_high Liver
T Cell GZMK,NA,NA,2202,0.055404178,T GD Cell Liver
Monocyte,Classical_Mon_S100A8,Myeloid,1172,0.096416382,Monocyte Liver
Macrophage FCN3,LEC_FCN3,Endothelial_cell,4859,0.040954929,Lymphatic Endothelial Cell Liver
Macrophage C1QB,Mac_SDC3,Myeloid,4866,0.040896013,Macrophage C1QB_high Liver
Monocyte,Classical_Mon_AQP9,Myeloid,4226,0.058447705,Monocyte Liver
T Cell GZMK,TEM_GIMAP4,CD8,1058,0.014177694,T GD Cell Liver
T Cell GZMK,TEM_INFG,CD8,2292,0.040139616,T GD Cell Liver
Macrophage FCN3,BEC_TIMP1,Endothelial_cell,4170,0.065227818,Endothelial Cell SELE_high Liver
Monocyte,Classical_Mon_AQP9,Myeloid,1554,0.088803089,Monocyte Liver
Lymphatic Endothelial Cell,LEC_CCL21,Endothelial_cell,3114,0.039177906,Endothelial Cell SLC9A3R2_high Liver
Macrophage FCN3,LEC_FCN3,Endothelial_cell,8947,0.048060803,Lymphatic Endothelial Cell Liver
Endothelial Cell ACKR1,BEC_IGFBP3,Endothelial_cell,2040,0.026960784,Endothelial Cell SLC9A3R2_high Liver
Macrophage C1QB,Mac_SDC3,Myeloid,3080,0.099675325,Macrophage C1QB_high Liver
Smooth Muscle Cell,Smo_CREM_high,FibSmo,2584,0.031733746,Smooth Muscle Cell Liver
Macrophage FCN3,BEC_TIMP1,Endothelial_cell,6181,0.027018282,Endothelial Cell SELE_high Liver
Macrophage C1QB,Mac_SDC3,Myeloid,3263,0.097456329,Macrophage C1QB_high Liver
Macrophage C1QB,Mac_SPP1,Myeloid,9633,0.02304578,Macrophage C1QB_high Liver
Macrophage C1QB,Mac_SDC3,Myeloid,5591,0.059202289,Macrophage LST1_high Liver
Macrophage FCN3,LEC_FCN3,Endothelial_cell,3415,0.053587116,Lymphatic Endothelial Cell Liver
Macrophage FCN3,LEC_FCN3,Endothelial_cell,2822,0.038979447,Lymphatic Endothelial Cell Liver
Monocyte,Classical_Mon_S100A12,Myeloid,1951,0.07227063,Monocyte Liver
NK/T Cell GNLY,TEFF_GNLY,CD8,1403,0.043478261,NK/T Cell Liver
T Cell GZMK,TEM_INFG,CD8,1129,0.063773251,CD8 T Cell GZMK_high Liver
T Cell GZMK,NA,NA,2089,0.119195787,T GD Cell Liver
Macrophage FCN3,BEC_TIMP1,Endothelial_cell,1305,0.147126437,Lymphatic Endothelial Cell Liver
Monocyte,Non_Classicial_Mon_FCGR3A,Myeloid,6114,0.102060844,Macrophage LST1_high Liver
T Cell GZMK,TEM_INFG,CD8,1417,0.064220183,CD8 T Cell TRBV4-2_high Liver
Monocyte,Classical_Mon_AQP9,Myeloid,2146,0.074557316,Monocyte Liver
T Cell IL7R,TRM_TNF,CD4,1991,0.013058764,T Cell LTB_high Liver
Monocyte,Classical_Mon_AQP9,Myeloid,3421,0.106109325,Monocyte Liver
T Cell XCL1,TEM_GZMK,CD8,1005,0.099502488,CD8 T Cell GZMK_high Liver
T Cell GZMK,TEFF_MT1E,CD8,2226,0.052560647,CD8 T Cell GZMK_high Liver
Monocyte,Mac_SDC3,Myeloid,5669,0.040395131,Macrophage C1QB_high Liver
Monocyte,Classical_Mon_AQP9,Myeloid,2499,0.066826731,Monocyte Liver
T Cell GZMK,TEM_INFG,CD8,2147,0.027945971,CD8 T Cell TRBV4-2_high Liver
NK/T Cell GNLY,NA,NA,1579,0.040531982,NK/T Cell Liver
T Cell IL7R,NA,NA,6031,0.035151716,High Proliferation CD8 T Cell Liver
Monocyte,Classical_Mon_S100A12,Myeloid,1944,0.124485597,Monocyte Liver
Macrophage C1QB,Mac_SDC3,Myeloid,7969,0.03990463,Macrophage C1QB_high Liver
Monocyte,Non_Classicial_Mon_FCGR3A,Myeloid,7740,0.067700258,Macrophage LST1_high Liver
T Cell GZMK,Th1_NKG7,CD4,1248,0.085737179,CD8 T Cell GZMK_high Liver
T Cell GZMK,TEM_INFG,CD8,1265,0.076679842,CD8 T Cell GZMK_high Liver
T Cell XCL1,TRM_HSPA1A,CD8,1804,0.067627494,CD8 T Cell GZMK_high Liver
Monocyte,Non_Classicial_Mon_FCGR3A,Myeloid,3691,0.069899756,Macrophage LST1_high Liver
T Cell GZMK,TEM_INFG,CD8,1714,0.027421237,CD8 T Cell GZMK_high Liver
Macrophage C1QB,Mac_SDC3,Myeloid,5135,0.042843233,Macrophage C1QB_high Liver
Macrophage C1QB,Mac_SDC3,Myeloid,6825,0.0603663,Macrophage C1QB_high Liver
NK/T Cell GNLY,NA,NA,1723,0.038305281,NK/T Cell Liver
NK/T Cell GNLY,NA,NA,1223,0.073589534,NK/T Cell Liver
T Cell GZMK,TEFF_TRBV4-2,CD8,1738,0.042002301,CD8 T Cell TRBV4-2_high Liver
Monocyte,Non_Classicial_Mon_FCGR3A,Myeloid,5632,0.075106534,Macrophage LST1_high Liver
Endothelial Cell ACKR1,BEC_PRSS23,Endothelial_cell,1734,0.077854671,Endothelial Cell SLC9A3R2_high Liver
T Cell XCL1,TEM_INFG,CD8,1680,0.020833333,CD8 T Cell GZMK_high Liver
T Cell GZMK,TEM_INFG,CD8,1448,0.026933702,CD8 T Cell GZMK_high Liver
Macrophage C1QB,Mac_SDC3,Myeloid,8910,0.022895623,Macrophage C1QB_high Liver
T Cell GZMK,NA,NA,1893,0.083465399,T GD Cell Liver
T Cell GZMK,TEM_INFG,CD8,1712,0.08703271,CD8 T Cell GZMK_high Liver
Monocyte,Classical_Mon_AQP9,Myeloid,1852,0.055075594,Macrophage LST1_high Liver
Cholangiocyte,Hepatic Oval Cell ,Epithelial_cells,2837,0.158618259,Hepatic Oval Cell Liver
Cholangiocyte,Hepatic Oval Cell ,Epithelial_cells,5889,0.142808626,Hepatic Oval Cell Liver
Macrophage C1QB,Mac_SDC3,Myeloid,5463,0.096650192,Macrophage C1QB_high Liver
Macrophage FCN3,BEC_TIMP1,Endothelial_cell,3192,0.108082707,Endothelial Cell SELE_high Liver
Macrophage C1QB,Mac_SDC3,Myeloid,4912,0.069218241,Macrophage C1QB_high Liver
T Cell GZMK,TEM_INFG,CD8,1436,0.048050139,CD8 T Cell GZMK_high Liver
Smooth Muscle Cell,BEC_CA4,Endothelial_cell,1041,0.159462056,Lymphatic Endothelial Cell Liver
Monocyte,Classical_Mon_S100A8,Myeloid,1290,0.062015504,Monocyte Liver
Macrophage FCN3,BEC_TIMP1,Endothelial_cell,3186,0.026051475,Lymphatic Endothelial Cell Liver
NK/T Cell GNLY,NA,NA,3112,0.073907455,NK/T Cell Liver
Smooth Muscle Cell,Smo_CREM_high,FibSmo,4194,0.023366714,Smooth Muscle Cell Liver
Macrophage FCN3,LEC_FCN3,Endothelial_cell,5276,0.038855193,Lymphatic Endothelial Cell Liver
T Cell GZMK,TEM_INFG,CD8,1629,0.041129527,CD8 T Cell GZMK_high Liver
Macrophage C1QB,Mac_SDC3,Myeloid,2433,0.0702836,Macrophage C1QB_high Liver
Endothelial Cell ACKR1,BEC_IGFBP3,Endothelial_cell,3089,0.01003561,Endothelial Cell SLC9A3R2_high Liver
Macrophage C1QB,Mac_SDC3,Myeloid,8171,0.039040509,Macrophage C1QB_high Liver
